  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-17.735 1.391 c22_44_c22_0502_0001
-17.731 1.366 c22_22_c22_1068_0001
-17.729 1.645 c22_11_c22_0620_0001
-17.728 5.501 c22_22_c22_0163_0001
-17.719 1.176 c22_11_c22_1225_0001
-17.719 1.449 c22_44_c22_0830_0001
-17.713 1.400 c22_22_c22_1172_0001
-17.699 5.194 c22_44_c22_0087_0001
-17.698 1.297 c22_77_c22_0898_0001
-17.697 5.590 c22_44_c22_0010_0001
-17.695 5.196 c22_33_c22_0934_0001
-17.690 1.898 c22_55_c22_0019_0001
-17.680 2.721 c22_55_c22_1142_0001
-17.678 1.478 c22_77_c22_0827_0001
-17.677 1.275 c22_11_c22_0811_0001
-17.671 3.393 c22_77_c22_0047_0001
-17.661 1.520 c22_22_c22_0466_0001
-17.633 5.291 c22_11_c22_0217_0001
-17.627 1.365 c22_33_c22_0994_0001
-17.625 1.469 c22_77_c22_0482_0001
-17.624 1.331 c22_44_c22_0734_0001
-17.618 1.668 c22_66_c22_0631_0001
-17.616 1.109 c22_33_c22_0129_0001
-17.604 1.913 c22_77_c22_1135_0001
-17.599 1.179 c22_11_c22_0191_0001
-17.599 1.362 c22_11_c22_0161_0001
-17.597 2.920 c22_77_c22_1248_0001
-17.587 1.451 c22_33_c22_0278_0001
-17.574 1.115 c22_22_c22_1190_0001
-17.559 1.384 c22_77_c22_0013_0001
-17.557 1.189 c22_22_c22_0391_0001
-17.556 1.740 c22_44_c22_0801_0001
-17.546 1.355 c22_11_c22_1079_0001
-17.540 1.827 c22_33_c22_0029_0001
-17.537 1.392 c22_33_c22_1191_0001
-17.527 5.030 c22_33_c22_0533_0001
-17.526 1.521 c22_11_c22_0476_0001
-17.507 1.524 c22_22_c22_1127_0001
-17.503 1.765 c22_33_c22_0947_0001
-17.501 1.752 c22_44_c22_0935_0001
-17.500 1.512 c22_44_c22_0269_0001
-17.493 1.456 c22_33_c22_0334_0001
-17.482 5.222 c22_33_c22_0433_0001
-17.478 5.967 c22_44_c22_0407_0001
-17.470 1.410 c22_77_c22_0974_0001
-17.466 1.794 c22_44_c22_1035_0001
-17.449 1.245 c22_11_c22_0866_0001
-17.448 5.227 c22_11_c22_0939_0001
-17.446 1.560 c22_11_c22_0311_0001
-17.426 5.318 c22_11_c22_0271_0001
-17.422 1.397 c22_77_c22_0393_0001
-17.419 5.100 c22_22_c22_0598_0001
-17.409 0.830 c22_11_c22_0935_0001
-17.393 5.309 c22_11_c22_0224_0001
-17.390 1.389 c22_33_c22_0867_0001
-17.381 1.400 c22_77_c22_1249_0001
-17.381 1.423 c22_66_c22_0429_0001
-17.370 1.739 c22_33_c22_0957_0001
-17.363 1.402 c22_77_c22_1122_0001
-17.360 1.368 c22_22_c22_0410_0001
-17.355 1.762 c22_44_c22_0256_0001
-17.354 1.013 c22_33_c22_0672_0001
-17.342 6.139 c22_66_c22_0859_0001
-17.339 5.026 c22_44_c22_0701_0001
-17.336 1.408 c22_44_c22_0635_0001
-17.334 1.443 c22_77_c22_0044_0001
-17.331 1.198 c22_11_c22_0740_0001
-17.326 1.469 c22_22_c22_0171_0001
-17.320 5.204 c22_44_c22_1030_0001
-17.312 1.707 c22_77_c22_0792_0001
-17.309 1.251 c22_11_c22_0266_0001
-17.302 5.516 c22_22_c22_1113_0001
-17.283 5.257 c22_11_c22_0648_0001
-17.281 0.917 c22_44_c22_0132_0001
-17.277 1.375 c22_44_c22_1223_0001
-17.276 1.384 c22_22_c22_0253_0001
-17.275 1.458 c22_77_c22_0435_0001
-17.259 1.399 c22_44_c22_0851_0001
-17.252 5.001 c22_66_c22_1231_0001
-17.252 5.222 c22_11_c22_0213_0001
-17.245 1.369 c22_66_c22_0712_0001
-17.244 1.501 c22_22_c22_0474_0001
-17.240 1.245 c22_22_c22_0875_0001
-17.231 1.780 c22_55_c22_0558_0001
-17.230 1.737 c22_55_c22_1202_0001
-17.229 1.474 c22_44_c22_0663_0001
-17.218 1.384 c22_44_c22_0308_0001
-17.207 1.838 c22_11_c22_0505_0001
-17.198 1.330 c22_44_c22_0005_0001
-17.184 1.911 c22_55_c22_0870_0001
-17.161 5.193 c22_22_c22_0512_0001
-17.159 5.213 c22_33_c22_0505_0001
-17.145 5.231 c22_22_c22_0671_0001
-17.144 1.445 c22_44_c22_0753_0001
-17.136 1.181 c22_11_c22_0644_0001
-17.116 1.379 c22_88_c22_0405_0001
-17.103 1.494 c22_44_c22_0154_0001
-17.102 1.430 c22_66_c22_0520_0001
-17.073 5.369 c22_77_c22_0726_0001
-17.072 1.683 c22_44_c22_0425_0001
-17.067 0.926 c22_77_c22_0838_0001
-17.062 1.842 c22_33_c22_0185_0001
-17.044 1.447 c22_11_c22_0242_0001
-17.036 1.618 c22_66_c22_0309_0001
-17.033 1.550 c22_22_c22_0667_0001
-17.021 1.488 c22_33_c22_0017_0001
-17.021 1.813 c22_33_c22_1139_0001
-17.012 1.780 c22_33_c22_0355_0001
-17.006 5.861 c22_22_c22_1228_0001
-16.992 5.936 c22_44_c22_0148_0001
-16.990 1.190 c22_11_c22_0047_0001
-16.986 1.422 c22_33_c22_0814_0001
-16.981 1.430 c22_77_c22_0070_0001
-16.974 1.447 c22_44_c22_1248_0001
-16.955 0.924 c22_77_c22_0796_0001
-16.946 1.177 c22_11_c22_0287_0001
-16.938 1.145 c22_22_c22_0605_0001
-16.937 1.643 c22_88_c22_0528_0001
-16.929 1.531 c22_22_c22_0352_0001
-16.927 0.837 c22_77_c22_1088_0001
-16.905 5.032 c22_33_c22_0889_0001
-16.902 5.566 c22_44_c22_0624_0001
-16.897 5.539 c22_22_c22_0396_0001
-16.880 1.339 c22_22_c22_0499_0001
-16.877 5.249 c22_11_c22_0773_0001
-16.875 2.863 c22_77_c22_0970_0001
-16.873 1.443 c22_33_c22_0693_0001
-16.870 1.278 c22_33_c22_0612_0001
-16.870 5.345 c22_44_c22_0321_0001
-16.854 5.452 c22_11_c22_0220_0001
-16.848 1.676 c22_44_c22_0520_0001
-16.841 1.263 c22_11_c22_0876_0001
-16.827 2.845 c22_77_c22_0692_0001
-16.826 5.262 c22_33_c22_1069_0001
-16.822 1.627 c22_55_c22_0688_0001
-16.788 2.546 c22_88_c22_0326_0001
-16.783 1.388 c22_66_c22_0028_0001
-16.783 1.943 c22_11_c22_0386_0001
-16.782 1.561 c22_66_c22_0659_0001
-16.782 5.381 c22_22_c22_0618_0001
-16.764 1.765 c22_33_c22_0497_0001
-16.759 1.792 c22_33_c22_0815_0001
-16.743 6.137 c22_44_c22_1193_0001
-16.740 1.801 c22_44_c22_0766_0001
-16.736 1.842 c22_66_c22_0319_0001
-16.732 5.050 c22_33_c22_0813_0001
-16.727 0.833 c22_77_c22_0670_0001
-16.727 5.401 c22_44_c22_0949_0001
-16.723 1.463 c22_33_c22_1133_0001
-16.723 1.688 c22_44_c22_0355_0001
-16.716 6.158 c22_33_c22_0681_0001
-16.713 1.300 c22_44_c22_0691_0001
-16.713 3.020 c22_22_c22_0990_0001
-16.712 1.836 c22_66_c22_0001_0001
-16.705 1.178 c22_11_c22_0262_0001
-16.695 5.299 c22_11_c22_0650_0001
-16.695 5.887 c22_11_c22_0736_0001
-16.690 1.809 c22_33_c22_0502_0001
-16.685 1.747 c22_55_c22_1010_0001
-16.684 1.065 c22_77_c22_0328_0001
-16.683 1.495 c22_22_c22_0994_0001
-16.679 4.963 c22_77_c22_0198_0001
-16.671 1.641 c22_77_c22_0329_0001
-16.662 1.412 c22_77_c22_0894_0001
-16.661 5.429 c22_11_c22_0867_0001
-16.656 1.569 c22_88_c22_0814_0001
-16.653 2.797 c22_77_c22_0136_0001
-16.647 1.925 c22_66_c22_0154_0001
-16.644 5.167 c22_88_c22_0652_0001
-16.638 3.693 c22_77_c22_1199_0001
-16.634 5.961 c22_66_c22_0335_0001
-16.632 5.384 c22_11_c22_0051_0001
-16.632 5.543 c22_33_c22_0099_0001
-16.626 2.700 c22_11_c22_0444_0001
-16.625 2.684 c22_88_c22_1186_0001
-16.619 5.227 c22_22_c22_0049_0001
-16.614 5.395 c22_44_c22_0873_0001
-16.609 5.242 c22_33_c22_0517_0001
-16.604 1.748 c22_44_c22_1004_0001
-16.570 1.217 c22_22_c22_1204_0001
-16.569 1.853 c22_44_c22_0708_0001
-16.561 1.749 c22_44_c22_0937_0001
-16.559 5.204 c22_22_c22_0665_0001
-16.553 1.359 c22_77_c22_0532_0001
-16.544 1.447 c22_77_c22_0588_0001
-16.530 1.736 c22_44_c22_0735_0001
-16.496 2.635 c22_22_c22_0451_0001
-16.493 1.922 c22_11_c22_0601_0001
-16.490 1.727 c22_44_c22_0587_0001
-16.476 1.368 c22_77_c22_0743_0001
-16.459 5.950 c22_55_c22_0930_0001
-16.451 2.709 c22_77_c22_0339_0001
-16.449 1.751 c22_11_c22_0873_0001
-16.446 1.426 c22_11_c22_0314_0001
-16.445 5.301 c22_11_c22_0780_0001
-16.444 5.839 c22_11_c22_0708_0001
-16.438 5.219 c22_66_c22_0550_0001
-16.430 1.348 c22_33_c22_1067_0001
-16.430 1.666 c22_88_c22_0071_0001
-16.429 1.489 c22_44_c22_0419_0001
-16.427 4.899 c22_33_c22_1243_0001
-16.425 6.110 c22_44_c22_0727_0001
-16.415 1.464 c22_44_c22_0894_0001
-16.415 1.520 c22_11_c22_0769_0001
-16.407 6.048 c22_11_c22_0341_0001
-16.405 5.190 c22_33_c22_1126_0001
-16.404 1.723 c22_55_c22_0108_0001
-16.403 1.129 c22_11_c22_0245_0001
-16.401 2.933 c22_55_c22_0644_0001
-16.392 1.739 c22_33_c22_1038_0001
-16.383 1.474 c22_44_c22_0774_0001
-16.383 5.107 c22_33_c22_0360_0001
-16.365 1.304 c22_77_c22_0561_0001
-16.359 1.615 c22_33_c22_0232_0001
-16.355 1.180 c22_33_c22_0537_0001
-16.352 2.469 c22_88_c22_1086_0001
-16.351 1.537 c22_66_c22_0384_0001
-16.329 5.484 c22_55_c22_0507_0001
-16.318 0.963 c22_33_c22_0500_0001
-16.317 5.073 c22_33_c22_0128_0001
-16.299 3.124 c22_22_c22_0820_0001
-16.298 1.560 c22_22_c22_0868_0001
-16.295 5.959 c22_66_c22_1097_0001
-16.276 1.392 c22_77_c22_0625_0001
-16.274 1.208 c22_77_c22_1205_0001
-16.271 5.399 c22_22_c22_0109_0001
-16.269 6.911 c22_55_c22_0211_0001
-16.259 5.252 c22_55_c22_0607_0001
-16.251 5.090 c22_66_c22_0766_0001
-16.248 5.484 c22_33_c22_1059_0001
-16.227 0.967 c22_77_c22_0205_0001
-16.216 2.667 c22_11_c22_0285_0001
-16.213 1.823 c22_66_c22_0503_0001
-16.210 5.156 c22_33_c22_1152_0001
-16.206 2.909 c22_77_c22_0655_0001
-16.201 5.949 c22_55_c22_0992_0001
-16.190 5.539 c22_55_c22_0221_0001
-16.179 2.635 c22_88_c22_0331_0001
-16.179 5.294 c22_44_c22_1199_0001
-16.178 2.646 c22_22_c22_0053_0001
-16.160 1.394 c22_11_c22_1219_0001
-16.141 5.969 c22_22_c22_0590_0001
-16.131 5.977 c22_66_c22_0843_0001
-16.111 1.685 c22_66_c22_0223_0001
-16.107 5.262 c22_22_c22_1237_0001
-16.093 1.472 c22_88_c22_1137_0001
-16.084 1.371 c22_77_c22_1059_0001
-16.083 5.276 c22_44_c22_1089_0001
-16.080 2.114 c22_66_c22_0378_0001
-16.067 4.639 c22_66_c22_0445_0001
-16.060 6.093 c22_55_c22_1175_0001
-16.046 1.710 c22_44_c22_0051_0001
-16.045 5.277 c22_77_c22_0160_0001
-16.037 1.532 c22_66_c22_0954_0001
-16.031 6.104 c22_33_c22_0800_0001
-16.028 1.547 c22_33_c22_0927_0001
-16.011 1.378 c22_33_c22_0618_0001
-16.009 1.852 c22_55_c22_0725_0001
-16.006 4.966 c22_77_c22_0486_0001
-15.999 5.136 c22_44_c22_0932_0001
-15.998 2.711 c22_22_c22_1071_0001
-15.989 5.901 c22_33_c22_0710_0001
-15.986 1.477 c22_11_c22_1195_0001
-15.979 5.353 c22_77_c22_0755_0001
-15.976 5.013 c22_77_c22_0537_0001
-15.974 1.552 c22_11_c22_0173_0001
-15.968 1.891 c22_88_c22_1212_0001
-15.968 2.519 c22_88_c22_0645_0001
-15.965 5.258 c22_55_c22_1063_0001
-15.961 5.380 c22_11_c22_0099_0001
-15.958 1.448 c22_66_c22_0123_0001
-15.954 1.560 c22_33_c22_1151_0001
-15.952 5.194 c22_33_c22_0745_0001
-15.944 1.676 c22_44_c22_1153_0001
-15.940 1.420 c22_44_c22_1076_0001
-15.930 1.616 c22_22_c22_0704_0001
-15.923 2.958 c22_77_c22_0832_0001
-15.918 4.876 c22_77_c22_0058_0001
-15.916 1.945 c22_55_c22_0067_0001
-15.912 2.706 c22_22_c22_0190_0001
-15.903 2.655 c22_22_c22_0240_0001
-15.891 5.819 c22_22_c22_0866_0001
-15.886 5.353 c22_44_c22_1139_0001
-15.871 1.782 c22_55_c22_0495_0001
-15.868 5.293 c22_22_c22_1107_0001
-15.866 1.364 c22_22_c22_0242_0001
-15.864 1.378 c22_88_c22_0230_0001
-15.859 2.924 c22_11_c22_0142_0001
-15.857 4.631 c22_66_c22_0815_0001
-15.855 2.440 c22_88_c22_0906_0001
-15.851 1.519 c22_44_c22_0161_0001
-15.851 1.526 c22_22_c22_0104_0001
-15.849 1.850 c22_55_c22_0895_0001
-15.846 1.388 c22_88_c22_0138_0001
-15.838 2.644 c22_55_c22_0455_0001
-15.836 5.394 c22_11_c22_0696_0001
-15.832 4.975 c22_77_c22_0384_0001
-15.830 1.866 c22_33_c22_1115_0001
-15.825 2.381 c22_22_c22_0301_0001
-15.818 2.675 c22_11_c22_0618_0001
-15.810 1.715 c22_22_c22_1151_0001
-15.807 1.276 c22_44_c22_0079_0001
-15.806 1.380 c22_11_c22_0087_0001
-15.800 6.594 c22_88_c22_0133_0001
-15.798 5.113 c22_66_c22_0195_0001
-15.797 2.706 c22_55_c22_0622_0001
-15.791 6.238 c22_33_c22_0650_0001
-15.789 1.634 c22_88_c22_0769_0001
-15.786 5.188 c22_22_c22_0144_0001
-15.777 5.312 c22_55_c22_1056_0001
-15.776 1.776 c22_44_c22_1167_0001
-15.769 5.149 c22_44_c22_0415_0001
-15.765 2.483 c22_88_c22_0455_0001
-15.763 2.141 c22_55_c22_0207_0001
-15.753 1.880 c22_77_c22_0667_0001
-15.752 1.578 c22_11_c22_1216_0001
-15.751 1.698 c22_44_c22_0115_0001
-15.746 3.183 c22_22_c22_0648_0001
-15.744 1.874 c22_44_c22_0850_0001
-15.739 5.346 c22_66_c22_0045_0001
-15.737 5.229 c22_77_c22_0368_0001
-15.735 1.488 c22_77_c22_0462_0001
-15.732 4.572 c22_66_c22_0012_0001
-15.732 5.536 c22_11_c22_0763_0001
-15.730 1.546 c22_11_c22_0563_0001
-15.726 5.541 c22_44_c22_0969_0001
-15.722 1.577 c22_11_c22_0333_0001
-15.715 1.382 c22_44_c22_1050_0001
-15.714 4.715 c22_55_c22_0154_0001
-15.687 1.658 c22_22_c22_0404_0001
-15.682 1.715 c22_44_c22_0189_0001
-15.674 5.509 c22_33_c22_0695_0001
-15.665 3.067 c22_77_c22_0186_0001
-15.657 5.425 c22_11_c22_0475_0001
-15.655 5.257 c22_55_c22_1071_0001
-15.654 1.354 c22_22_c22_0282_0001
-15.650 1.544 c22_11_c22_0686_0001
-15.648 6.067 c22_22_c22_1214_0001
-15.642 1.780 c22_22_c22_0233_0001
-15.642 2.330 c22_88_c22_0679_0001
-15.610 1.894 c22_11_c22_0018_0001
-15.609 5.546 c22_11_c22_0493_0001
-15.600 1.431 c22_33_c22_0431_0001
-15.596 4.701 c22_55_c22_0177_0001
-15.594 3.650 c22_11_c22_0985_0001
-15.587 1.796 c22_66_c22_0326_0001
-15.578 1.573 c22_11_c22_0122_0001
-15.577 2.719 c22_22_c22_0633_0001
-15.572 5.241 c22_88_c22_0588_0001
-15.566 2.458 c22_11_c22_0576_0001
-15.559 1.756 c22_88_c22_1011_0001
-15.550 1.699 c22_44_c22_0166_0001
-15.544 1.637 c22_33_c22_0732_0001
-15.529 5.346 c22_55_c22_0845_0001
-15.521 1.557 c22_11_c22_0167_0001
-15.514 2.816 c22_66_c22_0203_0001
-15.498 5.015 c22_88_c22_0372_0001
-15.496 5.090 c22_66_c22_0824_0001
-15.493 5.097 c22_22_c22_0365_0001
-15.483 5.383 c22_66_c22_0832_0001
-15.481 2.397 c22_11_c22_0406_0001
-15.475 1.674 c22_22_c22_0437_0001
-15.464 2.871 c22_55_c22_0712_0001
-15.460 5.950 c22_88_c22_0566_0001
-15.451 5.172 c22_55_c22_0804_0001
-15.412 5.237 c22_66_c22_0169_0001
-15.411 5.504 c22_33_c22_0645_0001
-15.406 3.079 c22_55_c22_0474_0001
-15.397 6.136 c22_44_c22_1177_0001
-15.394 2.770 c22_11_c22_1242_0001
-15.375 5.054 c22_33_c22_0038_0001
-15.369 2.540 c22_88_c22_0241_0001
-15.368 2.316 c22_88_c22_0811_0001
-15.365 6.104 c22_22_c22_0152_0001
-15.362 1.462 c22_77_c22_0963_0001
-15.362 5.473 c22_22_c22_0040_0001
-15.361 5.908 c22_22_c22_0380_0001
-15.360 5.050 c22_33_c22_1030_0001
-15.357 4.615 c22_11_c22_0750_0001
-15.356 2.549 c22_22_c22_0502_0001
-15.354 1.537 c22_55_c22_0540_0001
-15.340 1.302 c22_77_c22_1191_0001
-15.338 2.852 c22_55_c22_0044_0001
-15.326 1.855 c22_66_c22_0738_0001
-15.325 5.533 c22_66_c22_0058_0001
-15.322 2.909 c22_55_c22_0468_0001
-15.322 3.018 c22_77_c22_1036_0001
