  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-22.765 0.000 c22_22_c22_0444_0001
-22.018 0.200 c22_22_c22_0315_0001
-21.647 1.307 c22_22_c22_0342_0001
-21.412 1.306 c22_22_c22_0983_0001
-21.082 1.324 c22_22_c22_0566_0001
-20.963 1.353 c22_33_c22_0151_0001
-20.958 1.449 c22_44_c22_0924_0001
-20.780 1.334 c22_22_c22_0614_0001
-20.743 0.144 c22_22_c22_1227_0001
-20.728 1.209 c22_11_c22_0324_0001
-20.706 1.268 c22_77_c22_1004_0001
-20.684 1.277 c22_44_c22_0227_0001
-20.656 1.323 c22_44_c22_0596_0001
-20.651 1.262 c22_44_c22_0192_0001
-20.623 1.143 c22_22_c22_0541_0001
-20.578 5.250 c22_11_c22_0232_0001
-20.562 1.369 c22_33_c22_0613_0001
-20.555 1.426 c22_11_c22_0470_0001
-20.513 1.135 c22_22_c22_0183_0001
-20.460 0.206 c22_22_c22_1247_0001
-20.457 1.110 c22_22_c22_0941_0001
-20.456 1.315 c22_44_c22_1162_0001
-20.436 1.140 c22_22_c22_0086_0001
-20.430 1.376 c22_44_c22_0138_0001
-20.369 1.359 c22_33_c22_0167_0001
-20.322 1.247 c22_77_c22_0675_0001
-20.300 1.471 c22_11_c22_1123_0001
-20.289 1.418 c22_11_c22_0326_0001
-20.283 1.624 c22_33_c22_0270_0001
-20.274 1.234 c22_22_c22_0262_0001
-20.151 1.104 c22_22_c22_0176_0001
-20.125 1.683 c22_11_c22_0550_0001
-20.108 1.337 c22_33_c22_0757_0001
-20.093 0.253 c22_22_c22_1009_0001
-20.049 1.139 c22_22_c22_0993_0001
-20.038 1.458 c22_22_c22_0573_0001
-20.030 1.362 c22_44_c22_0921_0001
-19.991 0.198 c22_22_c22_1049_0001
-19.961 1.504 c22_44_c22_0485_0001
-19.958 1.250 c22_44_c22_0149_0001
-19.881 1.435 c22_44_c22_0595_0001
-19.879 1.513 c22_44_c22_0434_0001
-19.856 3.631 c22_88_c22_0682_0001
-19.853 1.679 c22_33_c22_1201_0001
-19.840 1.399 c22_33_c22_0082_0001
-19.812 1.363 c22_33_c22_0740_0001
-19.806 1.471 c22_22_c22_0580_0001
-19.801 5.171 c22_44_c22_0229_0001
-19.754 1.446 c22_22_c22_0381_0001
-19.744 0.985 c22_22_c22_0472_0001
-19.701 1.271 c22_11_c22_0676_0001
-19.686 1.149 c22_22_c22_0231_0001
-19.685 1.516 c22_33_c22_0477_0001
-19.678 1.332 c22_22_c22_0738_0001
-19.675 5.112 c22_33_c22_1107_0001
-19.656 1.275 c22_11_c22_0407_0001
-19.595 5.179 c22_33_c22_0563_0001
-19.487 1.234 c22_11_c22_0678_0001
-19.482 1.210 c22_22_c22_0632_0001
-19.468 1.166 c22_22_c22_0882_0001
-19.467 1.247 c22_11_c22_0566_0001
-19.463 1.672 c22_33_c22_0315_0001
-19.460 5.176 c22_44_c22_0462_0001
-19.434 1.202 c22_22_c22_1034_0001
-19.429 1.307 c22_22_c22_0989_0001
-19.415 1.179 c22_11_c22_0451_0001
-19.413 1.246 c22_22_c22_1191_0001
-19.399 1.289 c22_77_c22_1107_0001
-19.395 1.468 c22_33_c22_0426_0001
-19.390 1.180 c22_11_c22_0670_0001
-19.389 1.368 c22_11_c22_0394_0001
-19.380 1.372 c22_33_c22_1026_0001
-19.380 1.439 c22_22_c22_1114_0001
-19.374 1.514 c22_33_c22_0121_0001
-19.364 1.599 c22_44_c22_0175_0001
-19.351 5.178 c22_33_c22_0964_0001
-19.348 1.172 c22_22_c22_0113_0001
-19.338 0.544 c22_11_c22_1237_0001
-19.325 0.812 c22_22_c22_0179_0001
-19.319 1.587 c22_33_c22_0175_0001
-19.302 1.214 c22_22_c22_1067_0001
-19.265 1.403 c22_22_c22_0902_0001
-19.234 6.049 c22_44_c22_0420_0001
-19.216 1.253 c22_11_c22_0109_0001
-19.196 2.770 c22_77_c22_0596_0001
-19.188 1.343 c22_33_c22_0504_0001
-19.185 5.257 c22_44_c22_0519_0001
-19.181 5.295 c22_55_c22_0418_0001
-19.142 1.296 c22_22_c22_0348_0001
-19.142 5.227 c22_33_c22_0573_0001
-19.121 1.494 c22_44_c22_0740_0001
-19.118 1.181 c22_11_c22_1149_0001
-19.116 1.159 c22_11_c22_0534_0001
-19.110 1.304 c22_22_c22_0775_0001
-19.098 1.181 c22_11_c22_0716_0001
-19.086 1.436 c22_22_c22_0238_0001
-19.055 1.468 c22_33_c22_1186_0001
-19.035 5.196 c22_22_c22_0102_0001
-19.020 1.393 c22_33_c22_0830_0001
-19.014 5.343 c22_44_c22_0127_0001
-19.006 1.950 c22_55_c22_0362_0001
-18.981 1.345 c22_44_c22_0546_0001
-18.976 5.258 c22_44_c22_0911_0001
-18.963 1.167 c22_11_c22_0157_0001
-18.958 1.485 c22_33_c22_0203_0001
-18.955 1.184 c22_11_c22_0758_0001
-18.942 1.456 c22_22_c22_0907_0001
-18.885 1.430 c22_22_c22_0223_0001
-18.885 1.480 c22_44_c22_0617_0001
-18.876 5.261 c22_33_c22_1019_0001
-18.876 5.329 c22_44_c22_0363_0001
-18.837 1.377 c22_11_c22_1083_0001
-18.836 2.858 c22_88_c22_0172_0001
-18.810 1.417 c22_33_c22_0440_0001
-18.806 1.234 c22_11_c22_0494_0001
-18.800 1.461 c22_33_c22_0931_0001
-18.779 5.460 c22_22_c22_1050_0001
-18.753 1.950 c22_88_c22_0823_0001
-18.746 1.193 c22_22_c22_0197_0001
-18.720 1.180 c22_11_c22_0802_0001
-18.682 0.868 c22_77_c22_0716_0001
-18.677 1.169 c22_11_c22_0101_0001
-18.659 1.439 c22_22_c22_0572_0001
-18.659 1.698 c22_33_c22_0469_0001
-18.657 1.080 c22_22_c22_0122_0001
-18.650 1.164 c22_11_c22_0558_0001
-18.632 1.442 c22_33_c22_1197_0001
-18.603 1.585 c22_44_c22_0180_0001
-18.593 1.419 c22_44_c22_0182_0001
-18.559 5.941 c22_22_c22_1058_0001
-18.550 2.909 c22_22_c22_0846_0001
-18.512 1.333 c22_22_c22_0015_0001
-18.486 1.462 c22_44_c22_1182_0001
-18.473 1.453 c22_33_c22_0302_0001
-18.471 1.533 c22_44_c22_0397_0001
-18.467 1.231 c22_22_c22_0129_0001
-18.428 1.521 c22_22_c22_0454_0001
-18.426 0.785 c22_22_c22_0774_0001
-18.408 5.527 c22_44_c22_0282_0001
-18.404 1.368 c22_11_c22_0590_0001
-18.402 1.641 c22_33_c22_1162_0001
-18.387 1.381 c22_22_c22_0266_0001
-18.377 1.425 c22_33_c22_1166_0001
-18.369 5.326 c22_33_c22_1028_0001
-18.368 0.875 c22_77_c22_0576_0001
-18.368 1.275 c22_77_c22_0978_0001
-18.341 1.722 c22_33_c22_0282_0001
-18.337 1.150 c22_22_c22_0826_0001
-18.324 0.889 c22_77_c22_0261_0001
-18.313 1.182 c22_22_c22_0776_0001
-18.303 1.553 c22_22_c22_0416_0001
-18.298 0.884 c22_77_c22_0992_0001
-18.292 1.141 c22_22_c22_0979_0001
-18.288 1.206 c22_11_c22_0261_0001
-18.287 1.500 c22_22_c22_1037_0001
-18.247 1.209 c22_11_c22_0993_0001
-18.246 1.222 c22_11_c22_0924_0001
-18.234 5.513 c22_22_c22_0560_0001
-18.230 1.775 c22_33_c22_0792_0001
-18.229 1.455 c22_44_c22_0603_0001
-18.219 5.306 c22_11_c22_0492_0001
-18.211 1.425 c22_22_c22_0596_0001
-18.192 1.395 c22_44_c22_1094_0001
-18.189 1.525 c22_33_c22_0540_0001
-18.187 1.447 c22_22_c22_0681_0001
-18.184 1.433 c22_33_c22_0309_0001
-18.171 1.457 c22_77_c22_0222_0001
-18.166 5.457 c22_44_c22_1136_0001
-18.164 1.431 c22_44_c22_0047_0001
-18.164 5.292 c22_11_c22_0872_0001
-18.161 0.825 c22_44_c22_0728_0001
-18.140 1.509 c22_44_c22_1245_0001
-18.138 5.101 c22_44_c22_1110_0001
-18.129 5.113 c22_22_c22_1141_0001
-18.125 5.307 c22_44_c22_0881_0001
-18.123 0.791 c22_44_c22_0281_0001
-18.110 1.453 c22_77_c22_1121_0001
-18.106 1.453 c22_44_c22_0252_0001
-18.104 1.334 c22_88_c22_0876_0001
-18.101 1.549 c22_44_c22_0042_0001
-18.090 1.795 c22_33_c22_0104_0001
-18.075 1.643 c22_66_c22_1032_0001
-18.064 5.105 c22_33_c22_0641_0001
-18.060 1.412 c22_44_c22_1175_0001
-18.044 1.573 c22_22_c22_0858_0001
-18.011 1.393 c22_33_c22_0191_0001
-18.007 5.459 c22_11_c22_0240_0001
-17.991 5.296 c22_55_c22_0228_0001
-17.972 1.605 c22_11_c22_0277_0001
-17.958 1.438 c22_33_c22_0395_0001
-17.958 1.785 c22_33_c22_1159_0001
-17.953 1.118 c22_22_c22_0438_0001
-17.928 1.271 c22_77_c22_0867_0001
-17.923 1.240 c22_22_c22_0930_0001
-17.910 1.150 c22_22_c22_0856_0001
-17.891 1.930 c22_44_c22_0330_0001
-17.879 1.222 c22_11_c22_0282_0001
-17.867 1.488 c22_22_c22_0029_0001
-17.859 1.452 c22_44_c22_0314_0001
-17.858 1.673 c22_11_c22_1057_0001
-17.852 5.184 c22_44_c22_0102_0001
-17.850 1.638 c22_44_c22_0069_0001
-17.848 1.396 c22_11_c22_0847_0001
-17.839 1.598 c22_11_c22_0193_0001
-17.828 6.159 c22_66_c22_0647_0001
-17.823 1.455 c22_11_c22_0365_0001
-17.822 1.696 c22_22_c22_0657_0001
-17.810 1.725 c22_44_c22_1017_0001
-17.797 1.191 c22_22_c22_0095_0001
-17.795 1.549 c22_33_c22_0367_0001
-17.775 1.625 c22_66_c22_1016_0001
-17.772 1.236 c22_11_c22_1210_0001
-17.766 1.379 c22_44_c22_0854_0001
-17.763 1.606 c22_11_c22_0747_0001
-17.761 5.118 c22_22_c22_0329_0001
-17.755 2.045 c22_11_c22_1003_0001
-17.747 1.811 c22_11_c22_0642_0001
-17.740 1.454 c22_44_c22_1092_0001
