  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-20.785 2.645 c13_22_c13_0770_0001
-20.738 0.000 c13_77_c13_0236_0001
-19.902 2.213 c13_88_c13_0704_0001
-19.901 2.352 c13_22_c13_0634_0001
-19.871 8.709 c13_55_c13_0213_0001
-19.719 2.598 c13_88_c13_0421_0001
-19.613 0.805 c13_77_c13_0665_0001
-19.410 2.531 c13_66_c13_0401_0001
-19.368 2.728 c13_55_c13_0964_0001
-19.352 1.939 c13_55_c13_0110_0001
-19.291 2.695 c13_55_c13_1194_0001
-19.254 0.679 c13_77_c13_1083_0001
-19.129 0.766 c13_77_c13_0016_0001
-19.117 2.211 c13_88_c13_0569_0001
-19.086 2.730 c13_55_c13_0840_0001
-18.941 0.960 c13_77_c13_0258_0001
-18.923 2.016 c13_11_c13_0848_0001
-18.921 2.717 c13_55_c13_0697_0001
-18.912 1.408 c13_55_c13_0074_0001
-18.849 2.354 c13_88_c13_0347_0001
-18.835 2.641 c13_66_c13_0880_0001
-18.781 0.583 c13_77_c13_1171_0001
-18.746 1.949 c13_11_c13_0688_0001
-18.735 2.646 c13_44_c13_0955_0001
-18.735 2.758 c13_88_c13_0711_0001
-18.724 1.835 c13_22_c13_0942_0001
-18.663 1.607 c13_11_c13_0720_0001
-18.625 2.507 c13_55_c13_0325_0001
-18.607 2.092 c13_55_c13_0781_0001
-18.594 8.628 c13_33_c13_0715_0001
-18.592 2.634 c13_55_c13_0310_0001
-18.585 8.613 c13_44_c13_0251_0001
-18.523 2.602 c13_66_c13_0347_0001
-18.491 2.666 c13_66_c13_1242_0001
-18.460 8.721 c13_44_c13_0520_0001
-18.444 2.592 c13_44_c13_0658_0001
-18.437 2.605 c13_55_c13_0056_0001
-18.417 2.512 c13_66_c13_0124_0001
-18.400 1.587 c13_11_c13_1095_0001
-18.391 8.616 c13_33_c13_0038_0001
-18.290 8.594 c13_44_c13_0542_0001
-18.281 2.628 c13_66_c13_0118_0001
-18.264 1.621 c13_22_c13_1077_0001
-18.264 8.631 c13_55_c13_0562_0001
-18.204 2.878 c13_22_c13_0875_0001
-18.200 1.262 c13_55_c13_0373_0001
-18.164 2.483 c13_55_c13_1238_0001
-18.158 8.819 c13_11_c13_0951_0001
-18.129 0.738 c13_77_c13_0743_0001
-18.127 1.312 c13_66_c13_0794_0001
-18.118 1.563 c13_11_c13_0907_0001
-18.104 0.946 c13_77_c13_1051_0001
-18.064 8.719 c13_44_c13_0352_0001
-17.989 2.786 c13_66_c13_0020_0001
-17.979 2.224 c13_88_c13_0899_0001
-17.975 2.600 c13_44_c13_0179_0001
-17.934 0.790 c13_77_c13_1126_0001
-17.932 8.631 c13_33_c13_0994_0001
-17.929 1.808 c13_22_c13_0893_0001
-17.919 1.634 c13_55_c13_0860_0001
-17.891 1.367 c13_66_c13_0191_0001
-17.841 2.492 c13_55_c13_0207_0001
-17.828 1.723 c13_11_c13_0723_0001
-17.823 2.557 c13_44_c13_1191_0001
-17.788 3.622 c13_22_c13_1023_0001
-17.765 2.654 c13_55_c13_0026_0001
-17.759 1.321 c13_55_c13_0008_0001
-17.747 2.635 c13_55_c13_1233_0001
-17.742 1.430 c13_77_c13_0260_0001
-17.690 1.856 c13_22_c13_0721_0001
-17.652 2.362 c13_88_c13_0749_0001
-17.592 4.637 c13_22_c13_1128_0001
-17.568 1.836 c13_11_c13_1101_0001
-17.558 8.704 c13_44_c13_0230_0001
-17.556 2.684 c13_55_c13_0429_0001
-17.533 1.518 c13_11_c13_1008_0001
-17.514 1.692 c13_22_c13_0648_0001
-17.513 1.719 c13_11_c13_1221_0001
-17.490 2.043 c13_22_c13_1160_0001
-17.479 1.133 c13_55_c13_0613_0001
-17.476 8.676 c13_55_c13_0460_0001
-17.398 1.590 c13_22_c13_0841_0001
-17.378 2.054 c13_11_c13_0806_0001
-17.378 8.797 c13_44_c13_0329_0001
-17.343 2.782 c13_55_c13_1068_0001
-17.337 2.196 c13_77_c13_1067_0001
-17.336 2.469 c13_55_c13_0829_0001
-17.332 8.013 c13_55_c13_1182_0001
-17.320 2.459 c13_11_c13_1024_0001
-17.319 1.978 c13_55_c13_0351_0001
-17.313 7.897 c13_88_c13_0687_0001
-17.301 7.951 c13_88_c13_0521_0001
-17.298 2.256 c13_88_c13_1064_0001
-17.282 3.097 c13_55_c13_0281_0001
-17.257 2.143 c13_11_c13_0950_0001
-17.217 4.307 c13_77_c13_0044_0001
-17.216 7.779 c13_77_c13_1175_0001
-17.210 2.002 c13_22_c13_0759_0001
-17.206 3.929 c13_22_c13_0681_0001
-17.202 2.329 c13_88_c13_0220_0001
-17.198 8.742 c13_55_c13_0196_0001
-17.191 1.611 c13_22_c13_0949_0001
-17.191 3.433 c13_22_c13_0913_0001
-17.183 1.637 c13_11_c13_0668_0001
-17.176 8.798 c13_55_c13_0729_0001
-17.154 8.456 c13_11_c13_0710_0001
-17.152 2.516 c13_11_c13_1219_0001
-17.145 1.539 c13_55_c13_1235_0001
-17.119 3.232 c13_66_c13_0079_0001
-17.114 1.972 c13_22_c13_0500_0001
-17.111 3.692 c13_22_c13_1234_0001
-17.107 2.178 c13_11_c13_1020_0001
-17.103 3.334 c13_66_c13_0668_0001
-17.099 1.688 c13_11_c13_0626_0001
-17.070 1.749 c13_22_c13_1122_0001
-17.053 1.780 c13_22_c13_0658_0001
-17.036 8.653 c13_33_c13_0771_0001
-17.009 1.322 c13_77_c13_1186_0001
-17.004 2.376 c13_66_c13_1196_0001
-17.002 2.063 c13_11_c13_1041_0001
-16.999 3.126 c13_33_c13_0987_0001
-16.986 8.015 c13_11_c13_0679_0001
-16.980 2.072 c13_77_c13_0352_0001
-16.966 8.795 c13_44_c13_0477_0001
-16.949 1.843 c13_77_c13_0913_0001
