  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-16.948 1.962 c13_11_c13_1146_0001
-16.948 3.238 c13_66_c13_0535_0001
-16.912 2.940 c13_22_c13_0646_0001
-16.903 1.638 c13_66_c13_0366_0001
-16.898 1.440 c13_22_c13_0737_0001
-16.897 2.726 c13_88_c13_1056_0001
-16.889 8.592 c13_44_c13_0433_0001
-16.866 8.016 c13_11_c13_0734_0001
-16.863 3.215 c13_55_c13_1107_0001
-16.848 3.925 c13_22_c13_1133_0001
-16.833 8.752 c13_55_c13_0942_0001
-16.824 1.950 c13_22_c13_0691_0001
-16.817 8.660 c13_66_c13_0589_0001
-16.806 2.355 c13_11_c13_1183_0001
-16.798 2.525 c13_55_c13_0380_0001
-16.795 2.524 c13_55_c13_0472_0001
-16.754 1.358 c13_55_c13_1222_0001
-16.749 1.438 c13_66_c13_0973_0001
-16.748 2.206 c13_22_c13_0253_0001
-16.735 1.609 c13_66_c13_1226_0001
-16.715 2.337 c13_44_c13_0733_0001
-16.698 1.674 c13_11_c13_0695_0001
-16.694 2.439 c13_33_c13_0849_0001
-16.693 0.970 c13_77_c13_0857_0001
-16.683 1.805 c13_22_c13_0891_0001
-16.680 1.853 c13_11_c13_1177_0001
-16.665 1.933 c13_22_c13_1154_0001
-16.664 1.713 c13_22_c13_1101_0001
-16.659 2.418 c13_66_c13_1001_0001
-16.657 2.126 c13_22_c13_0990_0001
-16.650 2.052 c13_11_c13_0846_0001
-16.648 3.961 c13_22_c13_1182_0001
-16.618 2.409 c13_88_c13_0444_0001
-16.611 1.332 c13_66_c13_0781_0001
-16.610 8.772 c13_66_c13_1072_0001
-16.596 8.567 c13_55_c13_0048_0001
-16.594 3.425 c13_66_c13_1091_0001
-16.587 3.098 c13_44_c13_0413_0001
-16.560 3.365 c13_55_c13_0102_0001
-16.557 2.591 c13_22_c13_1164_0001
-16.542 8.636 c13_44_c13_0796_0001
-16.538 8.649 c13_55_c13_1079_0001
-16.533 8.764 c13_77_c13_0941_0001
-16.526 1.144 c13_44_c13_1222_0001
-16.505 8.747 c13_44_c13_0756_0001
-16.504 1.906 c13_11_c13_0694_0001
-16.502 1.422 c13_11_c13_0719_0001
-16.494 3.499 c13_66_c13_0278_0001
-16.492 4.295 c13_77_c13_0869_0001
-16.481 2.612 c13_55_c13_1227_0001
-16.463 2.392 c13_22_c13_0822_0001
-16.458 8.898 c13_11_c13_1209_0001
-16.457 1.058 c13_33_c13_0967_0001
-16.449 2.546 c13_55_c13_0823_0001
-16.447 8.699 c13_44_c13_0995_0001
-16.444 2.657 c13_77_c13_0419_0001
-16.440 3.094 c13_55_c13_1069_0001
-16.438 8.769 c13_55_c13_0973_0001
-16.426 3.540 c13_66_c13_0302_0001
-16.417 3.383 c13_22_c13_0936_0001
-16.403 8.650 c13_66_c13_0911_0001
-16.402 2.360 c13_11_c13_0717_0001
-16.383 9.641 c13_66_c13_1180_0001
-16.381 2.994 c13_33_c13_0940_0001
-16.381 3.484 c13_66_c13_0885_0001
-16.349 2.095 c13_11_c13_1108_0001
-16.342 2.566 c13_22_c13_1186_0001
-16.328 2.058 c13_11_c13_1018_0001
-16.328 3.513 c13_66_c13_0799_0001
-16.319 2.089 c13_11_c13_1130_0001
-16.304 3.236 c13_66_c13_0930_0001
-16.298 2.659 c13_33_c13_1051_0001
-16.277 3.549 c13_66_c13_0638_0001
-16.274 1.510 c13_88_c13_0565_0001
-16.271 0.898 c13_77_c13_0133_0001
-16.261 8.230 c13_22_c13_0917_0001
-16.257 1.048 c13_77_c13_0586_0001
-16.244 8.753 c13_55_c13_1164_0001
-16.237 2.552 c13_11_c13_0833_0001
-16.236 1.818 c13_22_c13_0461_0001
-16.235 3.234 c13_44_c13_1186_0001
-16.234 2.381 c13_33_c13_1115_0001
-16.233 2.325 c13_55_c13_0174_0001
-16.229 8.841 c13_11_c13_0681_0001
-16.212 8.722 c13_33_c13_0814_0001
-16.210 2.888 c13_55_c13_0541_0001
-16.208 3.277 c13_44_c13_0795_0001
-16.188 1.361 c13_33_c13_1037_0001
-16.141 2.796 c13_66_c13_1040_0001
-16.140 8.943 c13_11_c13_0787_0001
-16.119 0.656 c13_77_c13_0924_0001
-16.111 8.885 c13_44_c13_1000_0001
-16.100 8.764 c13_22_c13_1118_0001
-16.096 8.784 c13_55_c13_0420_0001
-16.086 3.021 c13_55_c13_0493_0001
-16.078 2.405 c13_88_c13_1095_0001
-16.070 8.504 c13_77_c13_0887_0001
-16.068 8.762 c13_55_c13_0753_0001
-16.047 1.257 c13_66_c13_0745_0001
-16.027 8.367 c13_11_c13_1075_0001
-16.022 2.519 c13_55_c13_0122_0001
-16.022 8.813 c13_22_c13_0635_0001
-16.020 8.144 c13_88_c13_0404_0001
-16.014 1.253 c13_66_c13_0743_0001
-16.006 8.795 c13_66_c13_0525_0001
-15.994 2.899 c13_55_c13_0277_0001
-15.992 8.654 c13_55_c13_1096_0001
-15.991 2.778 c13_88_c13_0021_0001
-15.987 2.915 c13_55_c13_0010_0001
-15.985 3.972 c13_77_c13_0809_0001
-15.974 2.707 c13_88_c13_0962_0001
-15.972 8.155 c13_22_c13_1213_0001
-15.943 8.823 c13_66_c13_0736_0001
-15.932 8.395 c13_22_c13_0859_0001
-15.928 3.308 c13_66_c13_1114_0001
-15.925 1.388 c13_66_c13_1041_0001
-15.922 2.623 c13_88_c13_0953_0001
-15.922 2.888 c13_88_c13_1138_0001
-15.920 2.597 c13_55_c13_1225_0001
-15.905 8.847 c13_22_c13_1071_0001
-15.894 2.452 c13_22_c13_1112_0001
-15.867 2.957 c13_33_c13_1198_0001
-15.867 8.822 c13_77_c13_0023_0001
-15.861 8.685 c13_66_c13_0502_0001
-15.857 8.187 c13_22_c13_1109_0001
-15.851 2.119 c13_22_c13_0660_0001
-15.847 8.507 c13_55_c13_0085_0001
-15.835 3.094 c13_55_c13_0269_0001
-15.811 8.903 c13_55_c13_1124_0001
-15.794 8.819 c13_11_c13_1081_0001
-15.768 3.214 c13_66_c13_1027_0001
-15.766 8.526 c13_11_c13_0003_0001
-15.757 2.592 c13_55_c13_0438_0001
-15.750 2.421 c13_22_c13_0196_0001
-15.747 2.102 c13_22_c13_1018_0001
-15.741 2.942 c13_66_c13_0748_0001
-15.740 2.707 c13_88_c13_0780_0001
-15.740 4.669 c13_44_c13_1013_0001
-15.733 8.896 c13_33_c13_0764_0001
-15.724 1.832 c13_22_c13_1171_0001
-15.711 8.693 c13_11_c13_1069_0001
-15.698 2.551 c13_33_c13_1157_0001
-15.697 8.454 c13_66_c13_1061_0001
-15.694 2.680 c13_88_c13_1223_0001
-15.692 5.313 c13_33_c13_1056_0001
-15.690 2.149 c13_88_c13_0184_0001
-15.685 1.511 c13_33_c13_1009_0001
-15.678 1.683 c13_77_c13_0010_0001
-15.673 8.515 c13_55_c13_0791_0001
-15.651 2.365 c13_11_c13_1009_0001
-15.643 1.425 c13_44_c13_0236_0001
-15.643 2.537 c13_55_c13_0756_0001
-15.640 8.888 c13_44_c13_0589_0001
-15.637 5.065 c13_44_c13_1091_0001
-15.631 3.180 c13_33_c13_1113_0001
-15.630 8.023 c13_22_c13_0786_0001
-15.629 8.514 c13_55_c13_0591_0001
-15.620 8.492 c13_55_c13_0111_0001
-15.616 2.430 c13_44_c13_0405_0001
-15.615 8.526 c13_88_c13_0845_0001
-15.609 8.978 c13_55_c13_0093_0001
-15.587 2.272 c13_11_c13_1161_0001
-15.575 8.768 c13_22_c13_0672_0001
-15.568 1.480 c13_44_c13_0486_0001
-15.568 3.346 c13_66_c13_0632_0001
-15.560 8.871 c13_66_c13_0310_0001
-15.558 8.764 c13_33_c13_0761_0001
-15.554 8.269 c13_22_c13_1038_0001
-15.553 4.542 c13_88_c13_0868_0001
-15.548 8.535 c13_44_c13_0889_0001
-15.537 8.555 c13_11_c13_0925_0001
-15.532 2.007 c13_11_c13_1050_0001
-15.527 8.968 c13_22_c13_1141_0001
-15.521 3.085 c13_44_c13_1165_0001
-15.515 2.899 c13_88_c13_1160_0001
-15.509 2.496 c13_66_c13_0957_0001
-15.481 3.044 c13_88_c13_0232_0001
-15.479 7.697 c13_33_c13_1131_0001
-15.475 2.911 c13_33_c13_1217_0001
-15.473 1.320 c13_55_c13_0572_0001
-15.472 2.657 c13_66_c13_0581_0001
-15.467 2.151 c13_11_c13_1245_0001
-15.467 3.156 c13_55_c13_0030_0001
-15.455 8.965 c13_22_c13_1039_0001
-15.447 8.984 c13_44_c13_0998_0001
-15.435 2.639 c13_55_c13_1193_0001
-15.433 8.483 c13_55_c13_0734_0001
-15.430 8.429 c13_11_c13_1002_0001
-15.430 8.553 c13_11_c13_0675_0001
-15.428 3.350 c13_66_c13_0658_0001
-15.424 8.179 c13_22_c13_1123_0001
-15.410 3.630 c13_66_c13_0698_0001
-15.394 9.242 c13_11_c13_0669_0001
-15.389 8.580 c13_77_c13_0607_0001
-15.387 8.448 c13_77_c13_0024_0001
-15.379 8.524 c13_11_c13_0883_0001
-15.377 3.517 c13_55_c13_0905_0001
-15.368 1.776 c13_77_c13_0546_0001
-15.362 8.866 c13_66_c13_0369_0001
-15.362 8.913 c13_55_c13_0209_0001
-15.353 2.195 c13_22_c13_0994_0001
-15.350 8.668 c13_66_c13_1022_0001
-15.339 3.069 c13_44_c13_0408_0001
-15.327 2.867 c13_88_c13_0334_0001
-15.320 8.383 c13_11_c13_1122_0001
-15.314 0.000 c13_11_c13_0155_0001
-15.305 2.983 c13_44_c13_0705_0001
-15.294 8.992 c13_11_c13_0984_0001
-15.277 2.569 c13_11_c13_1015_0001
-15.270 2.842 c13_55_c13_0977_0001
-15.266 3.344 c13_11_c13_0985_0001
-15.252 9.014 c13_55_c13_0232_0001
-15.248 2.644 c13_66_c13_0721_0001
-15.248 3.043 c13_44_c13_0340_0001
-15.241 8.361 c13_11_c13_0860_0001
-15.240 8.846 c13_66_c13_0722_0001
-15.239 9.372 c13_55_c13_1209_0001
-15.235 8.978 c13_22_c13_1085_0001
-15.234 2.936 c13_88_c13_1038_0001
-15.232 8.763 c13_22_c13_0771_0001
-15.222 3.162 c13_44_c13_1102_0001
-15.192 3.425 c13_55_c13_1173_0001
-15.191 4.988 c13_44_c13_0443_0001
-15.187 8.615 c13_11_c13_0804_0001
-15.183 8.502 c13_77_c13_0699_0001
-15.178 2.766 c13_66_c13_0102_0001
-15.175 8.617 c13_55_c13_0857_0001
-15.156 9.039 c13_33_c13_0912_0001
-15.139 3.701 c13_11_c13_1105_0001
-15.130 8.494 c13_66_c13_0772_0001
-15.130 8.696 c13_66_c13_0254_0001
-15.125 1.898 c13_88_c13_0053_0001
-15.123 8.747 c13_33_c13_1117_0001
-15.115 2.760 c13_55_c13_1005_0001
-15.108 1.412 c13_44_c13_0655_0001
-15.099 0.095 c13_11_c13_0562_0001
-15.086 1.992 c13_11_c13_0814_0001
-15.075 7.851 c13_33_c13_0961_0001
-15.064 2.915 c13_88_c13_0781_0001
-15.062 8.372 c13_11_c13_0756_0001
-15.058 3.376 c13_66_c13_1020_0001
-15.057 8.403 c13_11_c13_1035_0001
-15.024 2.970 c13_55_c13_0376_0001
-15.022 3.327 c13_66_c13_0429_0001
-15.016 8.835 c13_33_c13_0700_0001
-15.000 2.779 c13_11_c13_0795_0001
-15.000 8.633 c13_77_c13_0053_0001
-14.999 2.814 c13_66_c13_0629_0001
-14.980 2.487 c13_44_c13_0317_0001
-14.979 3.167 c13_66_c13_1142_0001
-14.970 3.260 c13_44_c13_0675_0001
-14.968 2.341 c13_55_c13_0098_0001
-14.959 8.278 c13_88_c13_0323_0001
-14.942 1.874 c13_88_c13_1143_0001
-14.942 3.240 c13_66_c13_0755_0001
-14.939 2.543 c13_88_c13_0715_0001
-14.927 2.480 c13_77_c13_0106_0001
-14.927 8.686 c13_22_c13_1203_0001
-14.925 8.856 c13_66_c13_0430_0001
-14.924 3.433 c13_55_c13_1179_0001
-14.911 7.857 c13_44_c13_0805_0001
-14.910 3.335 c13_55_c13_0087_0001
-14.904 8.655 c13_22_c13_1113_0001
-14.901 3.506 c13_66_c13_0919_0001
-14.895 0.290 c13_11_c13_0435_0001
-14.890 8.643 c13_44_c13_0438_0001
-14.883 3.311 c13_66_c13_0147_0001
-14.883 5.385 c13_55_c13_0865_0001
-14.883 8.745 c13_33_c13_0894_0001
-14.877 8.161 c13_11_c13_0553_0001
-14.870 8.790 c13_22_c13_0779_0001
-14.854 3.469 c13_66_c13_1060_0001
-14.845 2.838 c13_66_c13_0548_0001
-14.844 3.031 c13_44_c13_0407_0001
-14.841 9.325 c13_44_c13_0532_0001
-14.840 8.726 c13_66_c13_0487_0001
-14.834 3.103 c13_55_c13_0316_0001
-14.832 3.191 c13_66_c13_0358_0001
-14.829 3.586 c13_11_c13_0709_0001
-14.825 3.302 c13_33_c13_1098_0001
-14.816 8.190 c13_88_c13_0401_0001
-14.810 8.713 c13_22_c13_0810_0001
-14.794 9.027 c13_44_c13_0804_0001
-14.782 2.141 c13_22_c13_0851_0001
-14.779 1.185 c13_44_c13_0237_0001
-14.776 8.679 c13_11_c13_0725_0001
-14.775 2.680 c13_11_c13_1236_0001
-14.773 8.514 c13_44_c13_0879_0001
-14.767 1.686 c13_66_c13_0677_0001
-14.763 8.347 c13_11_c13_0854_0001
-14.762 3.547 c13_44_c13_0256_0001
-14.758 7.524 c13_44_c13_0935_0001
-14.754 3.318 c13_66_c13_0702_0001
-14.748 9.001 c13_55_c13_0707_0001
-14.735 3.277 c13_55_c13_0494_0001
-14.716 3.829 c13_22_c13_1084_0001
-14.707 3.119 c13_66_c13_0555_0001
-14.704 2.910 c13_66_c13_0313_0001
-14.700 7.970 c13_88_c13_0366_0001
-14.691 8.669 c13_11_c13_1198_0001
-14.686 2.478 c13_44_c13_1033_0001
-14.684 8.672 c13_11_c13_0877_0001
-14.677 2.481 c13_77_c13_1004_0001
-14.669 8.898 c13_55_c13_0365_0001
-14.647 4.581 c13_88_c13_0270_0001
-14.645 8.157 c13_11_c13_0596_0001
-14.641 3.919 c13_55_c13_0291_0001
-14.635 8.636 c13_66_c13_0223_0001
-14.633 3.008 c13_88_c13_0239_0001
-14.633 9.014 c13_22_c13_0745_0001
-14.632 2.058 c13_11_c13_1144_0001
-14.630 3.255 c13_33_c13_0830_0001
-14.630 8.183 c13_44_c13_0940_0001
-14.629 2.720 c13_66_c13_0331_0001
-14.627 3.122 c13_66_c13_0641_0001
-14.625 3.609 c13_66_c13_0107_0001
-14.616 3.855 c13_22_c13_0752_0001
-14.615 3.460 c13_66_c13_0968_0001
-14.612 1.313 c13_44_c13_0466_0001
-14.600 8.982 c13_22_c13_0792_0001
-14.595 2.659 c13_77_c13_1244_0001
-14.592 3.516 c13_22_c13_1092_0001
-14.591 3.441 c13_66_c13_0894_0001
-14.589 9.033 c13_33_c13_0913_0001
-14.579 8.770 c13_88_c13_0482_0001
-14.564 8.160 c13_11_c13_0115_0001
-14.563 2.085 c13_33_c13_0758_0001
-14.560 4.723 c13_88_c13_1024_0001
-14.558 1.229 c13_44_c13_0354_0001
-14.544 3.444 c13_66_c13_1049_0001
-14.531 2.175 c13_22_c13_1151_0001
-14.530 3.123 c13_55_c13_0962_0001
-14.526 1.209 c13_44_c13_0355_0001
-14.513 3.132 c13_55_c13_0629_0001
-14.505 9.049 c13_11_c13_0945_0001
-14.502 2.573 c13_88_c13_0959_0001
-14.500 3.296 c13_55_c13_0138_0001
-14.499 2.967 c13_55_c13_1080_0001
-14.490 3.126 c13_11_c13_0938_0001
-14.483 2.916 c13_88_c13_0641_0001
-14.479 2.591 c13_66_c13_0601_0001
-14.475 8.151 c13_11_c13_0022_0001
-14.466 2.383 c13_11_c13_0661_0001
-14.465 4.271 c13_55_c13_1056_0001
-14.463 8.367 c13_22_c13_0695_0001
-14.455 2.680 c13_33_c13_0763_0001
-14.450 3.087 c13_88_c13_0958_0001
-14.447 2.559 c13_55_c13_0381_0001
-14.440 3.212 c13_44_c13_1224_0001
-14.427 3.864 c13_66_c13_0267_0001
-14.423 0.540 c13_11_c13_0172_0001
-14.411 8.161 c13_11_c13_0552_0001
-14.405 8.679 c13_11_c13_1243_0001
-14.391 8.156 c13_11_c13_0323_0001
-14.380 1.396 c13_44_c13_0809_0001
-14.379 1.432 c13_44_c13_0574_0001
-14.378 2.907 c13_22_c13_0845_0001
-14.375 2.912 c13_33_c13_0935_0001
-14.372 8.386 c13_11_c13_0664_0001
-14.367 4.099 c13_55_c13_0084_0001
-14.350 3.572 c13_66_c13_0701_0001
-14.348 8.865 c13_22_c13_0916_0001
-14.343 8.998 c13_44_c13_1139_0001
-14.341 3.381 c13_11_c13_1163_0001
-14.336 8.159 c13_11_c13_0475_0001
-14.335 2.582 c13_66_c13_1077_0001
-14.325 2.270 c13_22_c13_1029_0001
-14.322 2.144 c13_55_c13_1192_0001
-14.318 8.841 c13_22_c13_0850_0001
-14.314 8.155 c13_11_c13_0034_0001
-14.312 8.163 c13_11_c13_0443_0001
-14.310 2.821 c13_66_c13_0558_0001
-14.308 1.403 c13_33_c13_0807_0001
-14.306 4.872 c13_88_c13_0316_0001
-14.305 2.938 c13_88_c13_0955_0001
-14.301 2.555 c13_55_c13_0470_0001
-14.300 1.773 c13_22_c13_0747_0001
-14.295 4.080 c13_55_c13_0644_0001
-14.291 3.342 c13_33_c13_1135_0001
-14.289 8.157 c13_11_c13_0083_0001
-14.283 2.309 c13_88_c13_0913_0001
-14.280 3.297 c13_66_c13_0148_0001
-14.278 2.428 c13_55_c13_0080_0001
-14.277 7.975 c13_22_c13_0677_0001
-14.275 1.330 c13_44_c13_0736_0001
-14.275 8.150 c13_11_c13_0374_0001
-14.275 8.721 c13_77_c13_0590_0001
-14.274 8.436 c13_22_c13_0898_0001
-14.270 4.492 c13_88_c13_1094_0001
-14.264 2.597 c13_44_c13_0475_0001
-14.264 8.733 c13_77_c13_0736_0001
-14.263 4.480 c13_44_c13_0610_0001
-14.256 3.112 c13_11_c13_0828_0001
-14.251 3.578 c13_55_c13_1239_0001
-14.249 8.935 c13_44_c13_0660_0001
-14.242 3.358 c13_33_c13_1163_0001
-14.230 2.721 c13_66_c13_1241_0001
-14.226 8.920 c13_33_c13_0815_0001
-14.221 2.895 c13_33_c13_0872_0001
-14.218 2.354 c13_88_c13_0125_0001
-14.215 2.602 c13_88_c13_0336_0001
-14.210 4.825 c13_77_c13_1127_0001
-14.207 8.487 c13_33_c13_0892_0001
-14.205 8.152 c13_11_c13_0451_0001
-14.197 2.538 c13_88_c13_0961_0001
-14.196 8.154 c13_11_c13_0402_0001
-14.195 3.079 c13_11_c13_0122_0001
-14.193 3.565 c13_55_c13_0995_0001
-14.193 8.159 c13_11_c13_0502_0001
-14.193 8.552 c13_77_c13_0206_0001
-14.187 8.832 c13_77_c13_1052_0001
-14.186 3.851 c13_22_c13_1102_0001
-14.186 8.699 c13_11_c13_1120_0001
-14.178 2.770 c13_55_c13_1174_0001
-14.171 1.711 c13_11_c13_1153_0001
-14.171 8.166 c13_11_c13_0431_0001
-14.169 8.880 c13_44_c13_0926_0001
-14.167 5.016 c13_88_c13_0647_0001
-14.166 2.726 c13_66_c13_0905_0001
-14.166 3.886 c13_11_c13_1115_0001
-14.163 8.756 c13_22_c13_0409_0001
-14.153 1.846 c13_77_c13_0142_0001
-14.153 3.190 c13_55_c13_0982_0001
-14.151 3.391 c13_77_c13_0257_0001
-14.145 8.158 c13_11_c13_0448_0001
-14.145 8.804 c13_33_c13_0966_0001
-14.144 1.644 c13_33_c13_1089_0001
-14.144 4.224 c13_44_c13_0221_0001
-14.144 4.780 c13_44_c13_0983_0001
-14.140 8.640 c13_77_c13_1197_0001
-14.139 8.316 c13_33_c13_0680_0001
-14.136 8.782 c13_55_c13_0177_0001
-14.134 3.194 c13_66_c13_0353_0001
-14.118 1.380 c13_44_c13_1161_0001
-14.117 1.399 c13_44_c13_0840_0001
-14.106 2.718 c13_11_c13_0927_0001
-14.106 5.214 c13_33_c13_0648_0001
-14.104 3.878 c13_66_c13_1249_0001
-14.098 8.833 c13_33_c13_0826_0001
-14.086 5.159 c13_44_c13_1074_0001
-14.085 2.560 c13_88_c13_0026_0001
-14.063 2.669 c13_66_c13_0052_0001
-14.063 2.998 c13_88_c13_0406_0001
-14.061 3.301 c13_33_c13_0925_0001
-14.046 2.100 c13_22_c13_1095_0001
-14.042 2.749 c13_66_c13_1059_0001
-14.036 3.338 c13_66_c13_0182_0001
-14.030 4.454 c13_55_c13_1052_0001
-14.026 2.631 c13_55_c13_0745_0001
-14.025 3.006 c13_55_c13_0988_0001
-14.019 8.903 c13_55_c13_1205_0001
-14.018 8.848 c13_11_c13_0716_0001
-14.011 8.655 c13_11_c13_0736_0001
-14.010 8.155 c13_11_c13_0361_0001
-14.006 7.922 c13_44_c13_0253_0001
-14.003 4.468 c13_44_c13_0536_0001
-13.988 8.477 c13_66_c13_0610_0001
-13.981 2.946 c13_11_c13_1201_0001
-13.980 9.031 c13_22_c13_0787_0001
-13.971 7.819 c13_66_c13_0167_0001
-13.971 8.150 c13_11_c13_0620_0001
-13.961 8.155 c13_44_c13_0264_0001
-13.954 3.226 c13_88_c13_0468_0001
-13.951 2.824 c13_11_c13_0712_0001
-13.949 2.543 c13_88_c13_0599_0001
-13.946 8.755 c13_55_c13_0300_0001
-13.943 3.188 c13_66_c13_1234_0001
-13.942 3.694 c13_77_c13_1108_0001
-13.942 5.161 c13_44_c13_0385_0001
-13.937 8.956 c13_11_c13_1006_0001
-13.934 8.342 c13_44_c13_0500_0001
-13.932 3.610 c13_44_c13_0863_0001
-13.931 3.240 c13_33_c13_0802_0001
-13.931 9.017 c13_66_c13_0807_0001
-13.927 2.102 c13_33_c13_1060_0001
-13.916 4.184 c13_44_c13_0743_0001
-13.912 8.665 c13_77_c13_0530_0001
-13.909 2.719 c13_88_c13_0104_0001
-13.907 7.978 c13_33_c13_1017_0001
-13.904 2.866 c13_88_c13_1046_0001
