  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-20.965 1.843 c18_88_c18_0004_0001
-20.955 1.208 c18_44_c18_0405_0001
-20.932 1.757 c18_88_c18_0745_0001
-20.927 2.101 c18_22_c18_0803_0001
-20.926 1.291 c18_88_c18_1111_0001
-20.922 1.195 c18_44_c18_0447_0001
-20.903 2.857 c18_22_c18_0687_0001
-20.900 2.336 c18_33_c18_1115_0001
-20.892 1.735 c18_88_c18_0031_0001
-20.891 1.823 c18_77_c18_0531_0001
-20.861 1.328 c18_77_c18_1162_0001
-20.852 2.296 c18_33_c18_1007_0001
-20.851 1.218 c18_44_c18_0839_0001
-20.847 1.840 c18_88_c18_0345_0001
-20.840 1.083 c18_33_c18_0517_0001
-20.811 1.173 c18_44_c18_0099_0001
-20.811 1.453 c18_88_c18_0341_0001
-20.804 0.941 c18_33_c18_0336_0001
-20.801 2.292 c18_33_c18_0120_0001
-20.774 1.203 c18_77_c18_0779_0001
-20.773 1.211 c18_44_c18_1060_0001
-20.761 1.443 c18_55_c18_1237_0001
-20.733 1.614 c18_11_c18_0525_0001
-20.729 1.290 c18_88_c18_0470_0001
-20.724 0.925 c18_33_c18_0306_0001
-20.717 1.268 c18_77_c18_0590_0001
-20.701 1.236 c18_88_c18_0215_0001
-20.701 1.599 c18_11_c18_0680_0001
-20.696 6.479 c18_44_c18_0616_0001
-20.682 1.837 c18_88_c18_1124_0001
-20.628 1.479 c18_88_c18_0293_0001
-20.627 1.838 c18_22_c18_0065_0001
-20.624 2.287 c18_77_c18_0150_0001
-20.620 2.159 c18_88_c18_0595_0001
-20.608 1.210 c18_44_c18_0596_0001
-20.602 1.490 c18_22_c18_0130_0001
-20.582 2.385 c18_44_c18_0455_0001
-20.575 1.452 c18_88_c18_0041_0001
-20.574 5.591 c18_44_c18_1081_0001
-20.555 6.633 c18_22_c18_0883_0001
-20.531 1.539 c18_88_c18_1179_0001
-20.529 2.493 c18_88_c18_0755_0001
-20.526 2.501 c18_88_c18_0933_0001
-20.514 0.984 c18_44_c18_0235_0001
-20.513 1.070 c18_33_c18_1191_0001
-20.511 1.306 c18_22_c18_0964_0001
-20.508 2.230 c18_88_c18_0188_0001
-20.499 1.202 c18_44_c18_0945_0001
-20.496 0.976 c18_44_c18_0867_0001
-20.490 1.476 c18_66_c18_0252_0001
-20.470 1.745 c18_88_c18_0594_0001
-20.463 1.497 c18_66_c18_1069_0001
-20.462 2.297 c18_33_c18_0178_0001
-20.457 1.306 c18_22_c18_0013_0001
-20.440 1.252 c18_88_c18_0026_0001
-20.440 6.893 c18_22_c18_0291_0001
-20.438 7.303 c18_33_c18_0028_0001
-20.437 0.944 c18_33_c18_0132_0001
-20.434 1.304 c18_77_c18_1046_0001
-20.423 6.421 c18_33_c18_1179_0001
-20.416 1.246 c18_33_c18_1100_0001
-20.416 1.503 c18_88_c18_0666_0001
-20.416 1.735 c18_22_c18_0086_0001
-20.416 6.069 c18_33_c18_0833_0001
-20.412 1.451 c18_88_c18_1074_0001
-20.408 4.361 c18_44_c18_0857_0001
-20.402 1.362 c18_55_c18_0618_0001
-20.396 2.420 c18_88_c18_0088_0001
-20.382 1.263 c18_77_c18_1234_0001
-20.382 1.485 c18_88_c18_0781_0001
-20.367 1.381 c18_77_c18_0752_0001
-20.360 1.369 c18_77_c18_0905_0001
-20.358 1.584 c18_22_c18_0021_0001
-20.354 4.367 c18_44_c18_1055_0001
-20.347 1.498 c18_88_c18_1103_0001
-20.344 1.280 c18_88_c18_0639_0001
-20.325 1.965 c18_88_c18_1220_0001
-20.323 1.054 c18_66_c18_1020_0001
-20.315 2.285 c18_33_c18_1152_0001
-20.309 1.082 c18_66_c18_0069_0001
-20.290 1.324 c18_88_c18_0975_0001
-20.253 2.502 c18_33_c18_1193_0001
-20.242 1.362 c18_88_c18_0922_0001
-20.241 2.155 c18_11_c18_0468_0001
-20.237 2.242 c18_33_c18_1078_0001
-20.227 0.967 c18_55_c18_1216_0001
-20.203 7.785 c18_44_c18_0481_0001
-20.200 1.318 c18_88_c18_0629_0001
-20.191 1.078 c18_66_c18_0567_0001
-20.178 0.998 c18_22_c18_0131_0001
-20.174 0.886 c18_33_c18_0869_0001
-20.146 4.183 c18_55_c18_0919_0001
-20.139 6.601 c18_22_c18_1011_0001
-20.102 1.403 c18_88_c18_1065_0001
-20.099 1.596 c18_11_c18_1161_0001
-20.089 1.521 c18_22_c18_1046_0001
-20.084 1.818 c18_88_c18_0337_0001
-20.065 1.684 c18_66_c18_0066_0001
-20.051 1.361 c18_77_c18_0295_0001
-20.041 1.006 c18_77_c18_0900_0001
-20.016 1.010 c18_33_c18_0718_0001
-19.992 1.119 c18_66_c18_0270_0001
-19.987 1.026 c18_44_c18_0034_0001
-19.981 7.013 c18_11_c18_0682_0001
-19.977 1.090 c18_66_c18_0615_0001
-19.976 1.573 c18_22_c18_0137_0001
-19.973 1.529 c18_11_c18_1165_0001
-19.972 1.009 c18_33_c18_0260_0001
-19.970 1.284 c18_88_c18_0740_0001
-19.967 1.062 c18_11_c18_0795_0001
-19.965 7.068 c18_66_c18_0280_0001
-19.938 1.037 c18_33_c18_1144_0001
-19.928 1.733 c18_88_c18_0364_0001
-19.918 1.639 c18_11_c18_1069_0001
-19.915 0.997 c18_33_c18_0116_0001
-19.915 1.616 c18_22_c18_0512_0001
-19.913 0.994 c18_77_c18_0385_0001
-19.913 2.024 c18_11_c18_0234_0001
-19.913 6.058 c18_33_c18_0317_0001
-19.903 0.965 c18_44_c18_0207_0001
-19.898 5.689 c18_22_c18_0029_0001
-19.892 6.629 c18_22_c18_0277_0001
-19.889 9.577 c18_55_c18_0686_0001
-19.875 0.912 c18_33_c18_0451_0001
-19.874 4.091 c18_55_c18_0247_0001
-19.868 1.712 c18_88_c18_0472_0001
-19.860 1.601 c18_22_c18_0581_0001
-19.860 1.672 c18_22_c18_0200_0001
-19.856 0.976 c18_55_c18_1205_0001
-19.854 1.844 c18_11_c18_0285_0001
-19.850 2.355 c18_22_c18_1249_0001
-19.840 1.926 c18_22_c18_0288_0001
-19.831 2.238 c18_11_c18_0520_0001
-19.828 1.073 c18_66_c18_1080_0001
-19.825 1.592 c18_22_c18_0627_0001
-19.821 7.107 c18_33_c18_0622_0001
-19.814 1.614 c18_22_c18_0049_0001
-19.813 1.508 c18_66_c18_0831_0001
-19.813 4.677 c18_22_c18_0458_0001
-19.806 1.766 c18_66_c18_0290_0001
-19.792 7.792 c18_44_c18_0645_0001
-19.789 2.152 c18_33_c18_0984_0001
-19.780 5.320 c18_33_c18_0056_0001
-19.780 6.733 c18_66_c18_0046_0001
-19.778 0.916 c18_33_c18_1107_0001
-19.773 6.526 c18_44_c18_0423_0001
-19.770 1.210 c18_44_c18_1101_0001
-19.744 2.239 c18_88_c18_0339_0001
-19.743 1.541 c18_11_c18_0193_0001
-19.736 1.223 c18_77_c18_1022_0001
-19.730 1.019 c18_66_c18_0919_0001
-19.719 6.449 c18_33_c18_0156_0001
-19.718 1.079 c18_66_c18_0025_0001
-19.717 1.341 c18_88_c18_0142_0001
-19.714 3.900 c18_33_c18_0259_0001
-19.713 2.310 c18_22_c18_1206_0001
-19.711 2.257 c18_11_c18_1085_0001
-19.710 2.196 c18_88_c18_0116_0001
-19.708 1.221 c18_33_c18_0926_0001
-19.680 1.620 c18_22_c18_0931_0001
-19.669 7.153 c18_33_c18_0700_0001
-19.663 2.276 c18_88_c18_0690_0001
-19.658 1.304 c18_55_c18_0411_0001
-19.655 4.748 c18_22_c18_0209_0001
-19.649 1.098 c18_66_c18_1165_0001
-19.648 1.274 c18_88_c18_1176_0001
-19.646 1.389 c18_77_c18_1227_0001
-19.642 1.423 c18_66_c18_1026_0001
-19.623 0.913 c18_33_c18_1120_0001
-19.619 2.884 c18_22_c18_0729_0001
-19.617 2.073 c18_33_c18_1090_0001
-19.615 1.238 c18_66_c18_0528_0001
-19.598 1.882 c18_88_c18_1027_0001
-19.595 1.202 c18_22_c18_1110_0001
-19.588 6.382 c18_33_c18_0956_0001
-19.587 1.787 c18_66_c18_0093_0001
-19.583 1.325 c18_11_c18_1141_0001
-19.581 1.269 c18_88_c18_0527_0001
-19.540 2.062 c18_88_c18_0152_0001
-19.540 4.645 c18_11_c18_0301_0001
-19.526 6.734 c18_22_c18_0958_0001
-19.518 1.228 c18_22_c18_0436_0001
-19.518 1.606 c18_88_c18_0844_0001
-19.513 6.656 c18_66_c18_0990_0001
-19.499 6.160 c18_88_c18_0039_0001
-19.495 1.359 c18_77_c18_0603_0001
-19.493 2.578 c18_44_c18_0999_0001
-19.486 7.266 c18_88_c18_0752_0001
-19.477 2.005 c18_33_c18_0461_0001
-19.477 2.246 c18_33_c18_0637_0001
-19.476 6.171 c18_33_c18_1028_0001
-19.475 1.856 c18_88_c18_0982_0001
-19.468 1.294 c18_11_c18_0666_0001
-19.467 1.496 c18_88_c18_0055_0001
-19.464 1.049 c18_33_c18_0902_0001
